f3b1d544-18bf-4343-8b51-70c6341a3495;100;Pfizer;01/01/2023;d9534b7f-1e70-4b63-a915-4a6a15f44a10
a20a6e5a-185b-4d91-8d8a-5409d996f3d3;120;Moderna;01/02/2022;2e4d587a-907c-4d6e-b072-9b1e6e1ca304
c4f312e5-236d-4db5-96c7-d6b7d6719f3f;80;AstraZeneca;01/03/2023;f9a4c8ed-48df-42f5-9d2f-7e1276c0ac29
e92ea1b4-1a42-4e86-8b59-6d9b0c8278e6;90;Johnson & Johnson;01/04/2023;c3a58a3f-8173-4e1e-9f20-8e80c0d6bf43
1d12a7e9-98f7-48d2-80e6-9f3e16f60e4c;110;Sinopharm;01/05/2023;7d1d9e7d-289b-4284-b781-6d6a4c1bd8f3
b1db0e2a-e460-49c5-9d2d-eb1606d1568d;95;Sinovac;01/06/2022;a6eac6e1-3099-42f7-9c7e-e99b0b1e75e1
74e173c5-12ea-4b06-b693-86903a5b7c1d;70;Sputnik V;01/07/2023;b1254804-8cf5-4c0d-bddc-52b1c6d73c64
5f11916d-754b-4e90-bb5f-ccf07d2b1b6a;130;Oxford-AstraZeneca;01/08/2023;fe2ab102-564f-42e6-aeef-5f90d7a45017
6a7a6e6d-30cc-4a52-9ec0-c1d1a171b183;75;Covaxin;01/09/2023;93f26c23-0da1-4f5d-95a7-85ac5cbe45b5
f8a6e6a3-0d3a-4f0d-8f8f-65b0e1e06c4b;85;SinoVac;01/10/2023;8f82e6b6-0f82-4380-a5fc-65b0d7c06c0b
